,name_ft,probability
0,đm,0.022687867881756082
1,đéo,0.01882781236948246
2,chó,0.009318398308482231
3,ngu,0.008716836043399978
4,vl,0.00620132428878478
5,dm,0.005836105671372441
6,vcl,0.005172515810401629
7,tao,0.004129260910806923
8,thằng,0.0038195416534665978
9,đĩ,0.002858638607326816
10,éo,0.0028178810385668033
11,ngu vl,0.002791413591558896
12,vkl,0.0025285805787473165
13,hãm,0.0025150888848099067
14,con,0.0023270269115787654
15,url,0.0021725627855039014
16,chửi,0.0021617603544651855
17,sủa,0.0020865825818447673
18,nói,0.0020043104980843867
19,óc chó,0.001983557846009765
20,ngu vc,0.0018936374832446395
21,ngu lol,0.001832939484171319
22,dcm,0.0017836770352986295
23,mày,0.00175765746285161
24,đéo gì,0.0017290340779115296
25,tởm,0.0017171658988088707
26,ngu như chó,0.0016682516538695429
27,chịch,0.0015304050811044084
28,cáu vl,0.0015282883093550663
29,thằng lol,0.0015270351069855278
30,mẹ mày,0.0014387694833359144
31,óc,0.0013881098329081248
32,con chó,0.001380925747839216
33,tởm vl,0.001327260570304512
34,đéo có,0.0013242731113590027
35,cc,0.0013146003794425461
36,cay,0.0012411943180517164
37,mấy thằng,0.0012399553149642663
38,hả,0.0012305037022139415
39,mà,0.0012268806934448086
40,thằng ngu,0.0012198302151937449
41,đm vl,0.001210539785612716
42,dkm,0.0011791989360079478
43,mà đéo,0.0011552961321526984
44,chết,0.0011525760622368767
45,ỉa,0.0011315746219007809
46,lol,0.001111477503464704
47,mấy con,0.0011086814649399904
48,mẹ,0.001099604136348926
49,vãi,0.001094559299134894
50,cc gì,0.0010606263551532814
51,ngu như,0.0010535228591230597
52,đéo thích,0.0010473879445739393
53,chúng mày,0.0010316919106759716
54,thì đéo,0.0010037890345556072
55,như,0.000977188431837655
56,bọn,0.0009464277271523965
57,đĩ gọi tên,0.0009223946729308743
58,thằng óc,0.0009102797926587818
59,cặc,0.000902200351860622
60,cl,0.0008859509057434825
61,tao đéo,0.0008822717906874825
62,đéo biết,0.0008807948513931936
63,đéo phải,0.0008713312737815887
64,ad,0.0008478956347045753
65,đmm,0.0008392431674392816
66,duma,0.0008368699408919587
67,phò,0.0008342906092293359
68,con bò,0.0008315033357064747
69,đm cay,0.0008297928010717344
70,đm giống,0.0008206016762042675
71,giết,0.0008163451567754395
72,thì,0.0008126219434190387
73,ngu ngu,0.0008118613973068469
74,đéo cần,0.0007992749539999647
75,đù,0.0007979207077351923
76,ăn,0.0007936778298823875
77,kinh,0.0007921435740537561
78,chuyện,0.0007880768519497048
79,biến,0.0007757422065678525
80,đít,0.0007697455296588995
81,là,0.0007481963336036512
82,lồn,0.0007413428900605507
83,loz,0.0007351447386582873
84,nói xấu,0.000727921480245085
85,đéo hiểu,0.0007278922269289573
86,biết,0.0007277721166708564
87,phũ,0.000724160860136013
88,dm sợ,0.0007193143435972601
89,nứng,0.0007184794366048492
90,gián,0.0007154188239099161
91,đell,0.0007106764251845574
92,phát biểu ngu,0.000710182899046398
93,đụ,0.0007045441138496225
94,đm sợ,0.0006979052312566194
95,đm ám,0.000694450825011001
96,mạ,0.0006879708339255154
97,lone,0.0006861321153585767
98,thanh,0.0006787261947482648
99,khó,0.0006721720025873978
100,cái,0.000664991301688529
101,mồm,0.0006599733804044665
102,thề,0.0006534944299804881
103,ghét,0.0006472726786045143
104,to mồm zẩu,0.0006464701262215382
105,có,0.0006455113998714912
106,thằng chó,0.0006410974855751898
107,cho mày,0.0006379121349978365
108,cũng đéo,0.0006330734773174927
109,đau răng vl,0.0006286136534660281
110,đéo đâu,0.0006272593639822582
111,trâu vl,0.0006172885407890556
112,kém,0.0006161120057723832
113,nguyễn đm,0.0006155377917696333
114,hàng,0.0006133638878955541
115,kkkkkk,0.0006106220808240032
116,mắc ỉa,0.0006099129798485603
117,nhìn,0.0006022587208711264
118,ngại,0.0006006253029183106
119,đấy thằng,0.0005956666665765149
120,con điên vl,0.0005956272388353991
121,nó di,0.0005916344153971054
122,mà ngu,0.0005894690032258632
123,hại dân,0.0005863729056519155
124,cút cút,0.0005860228660338171
125,cha mày,0.0005835352696636376
126,new photó,0.0005831010666080361
127,chế,0.0005768112843295565
128,post,0.0005758038061140438
129,câm,0.0005755234163963003
130,dell,0.0005682688729375417
131,dái,0.0005674412108775816
132,láo vl,0.0005608878240097457
133,ức chế,0.0005600350018625167
134,ngứa,0.0005454848147213271
135,cho,0.0005435539684302848
136,đm ám ảnh,0.0005422018225145958
137,nói nhiều,0.0005412207281962753
138,mặt vl,0.0005387915109601199
139,bố,0.0005327890934779091
140,mầy,0.0005311708029532193
141,nói ngu,0.0005295381990731682
142,kia nè,0.000517500618002151
143,chuyện vl,0.0005159262493417035
144,vợ,0.0005150991965452335
145,lời như đồn,0.0005122453617861529
146,dị,0.000507868947310413
147,mất nết,0.0005060559151977154
148,nguyen quá đáng,0.0004970256178827354
149,thì mày,0.0004967674194864088
150,trần,0.0004963145237242945
151,khùng,0.0004900907025694973
152,biết mình,0.00048825474674891816
153,điên,0.0004841256021993402
154,gì,0.00047991913592773476
155,tuyết nhi,0.00047834479972154426
156,khinh,0.0004783102397896292
157,hiển nhiên vl,0.0004775033681887302
158,như mày,0.0004738465605597364
159,đệt,0.0004687614008563501
160,deo bt,0.00046368161470316995
161,ngu ngu ngu,0.00046252882093882156
162,chất,0.00045279535579801386
163,phế vật,0.0004521349075164626
164,đm nhìn,0.000452129141641057
165,nứng vl,0.0004497732006701055
166,phát biểu,0.0004485609632924265
167,nhảm,0.0004439622217195746
168,lz,0.0004429871510774892
169,nó,0.0004415737664156898
170,này,0.00044021286395920094
171,vãi lol,0.00044004290523825217
172,ông,0.00043926108941537943
173,cũng đàn,0.0004389290656065879
174,thực,0.00043889692514109815
175,có mày,0.0004379657807938462
176,nhục,0.0004378214028141928
177,mày điên,0.00043724902324755884
178,để mày,0.0004346669107914279
179,bò đỏ,0.0004327999932671365
180,dân,0.0004323356168940956
181,dit,0.0004286762031218687
182,lắm thằng ngu,0.0004285053848169822
183,lol gì,0.0004262188051372777
184,khôn,0.00042601114074853485
185,thằng viết,0.00042574467167009913
186,chửi tao,0.0004253139550459692
187,đm cay vl,0.00042523985144607055
188,nhulonn,0.00042437123514357615
189,chất vcl,0.0004242525937529758
190,đmmm,0.0004237118509866541
191,hieu thao,0.00042340974624087484
192,photó,0.00042282959951700467
193,vô dụng vl,0.00042187444037713936
194,cay vl,0.00042075113896303164
195,ngang,0.00042049101207420974
196,vailon,0.0004204267991588067
197,đéo đéo đéo,0.0004182742155721044
198,cầm mic đêm,0.0004157613977327252
199,dm giống,0.00041572798988119574
