,name_ft,probability
79,con chó,0.0007278701158781399
80,ỉa,0.000727106977253929
81,ngu thế,0.0007238741287713292
82,nhulonn,0.0007150781817549577
83,mặt vl,0.0007121451538834995
84,dcm,0.0007059470277077742
85,cặc,0.0007039514925615208
86,đm ám ảnh,0.0006930036800064163
87,tởm vl,0.0006763161017607026
88,sủa,0.0006751823063259867
89,cằc đúng,0.0006745789609333081
90,cho thằng,0.000672504340272805
91,deo,0.0006711326329265453
92,nhìn,0.0006624378541637291
93,thằng chó,0.0006615951588995739
94,đéo gì,0.0006613770804806662
95,mày ngu,0.0006613289466207078
96,đéo biết,0.0006594532488161236
97,hả thằng,0.0006557394453281987
98,cát,0.0006546769220342466
99,đm cay vl,0.0006488608608596738
100,vợ,0.0006472198857966359
101,đấy thằng ngu,0.0006391383942862519
102,đm sợ vl,0.0006377560971785755
103,ngu mà,0.0006367493642570824
104,con điên,0.0006343686070625467
105,cáu vl,0.0006295534853492566
106,con ngu,0.0006262067590173703
107,đm giống,0.0006250577304266241
108,vailon,0.0006092302931164815
109,ocschos,0.0006086067918760944
110,có ai ngại,0.0006015682949478522
111,bẩn,0.0006009537825599411
112,đm ám,0.0005942335416404434
113,đcm giống,0.0005906816999414416
114,cứt,0.0005860800887310822
115,bú,0.000584860762070923
116,thằng già,0.0005822796459095983
117,nghiện,0.0005820452649482694
118,người,0.0005669226719578404
119,đó thằng,0.0005637202605080589
120,new photos url,0.000556400183114526
121,quá đáng vl,0.0005548293155518348
122,xấu,0.0005543245525349321
123,điên vl,0.0005541962563977179
124,biết mày ngu,0.0005525630050206587
125,nhảm,0.0005522611670162306
126,thảm vl,0.0005512176132354306
127,ông,0.0005489642709590863
128,hãm,0.0005430332684757675
129,đéo đéo,0.0005417436018946479
130,như con,0.0005368888948957452
131,nó di,0.0005360204168101407
132,lũ ngu,0.0005299011076594617
133,phế vật,0.000527203664306462
134,mày có,0.0005270325952392372
135,cc mệt vl,0.0005237363691533317
136,post,0.0005234761311672662
137,bố mày,0.0005222701299278039
138,chảnh,0.0005203330483684234
139,chất,0.0005175032259954032
140,lắm chuyện vl,0.0005129260049854825
141,cha mày,0.0005100601831545114
142,con chó ngu,0.0005087831224338039
143,mẹ mất,0.0005070029906129008
144,trẻ,0.0004998075872863183
145,to mồm zẩu,0.0004958470411033686
146,nói xấu,0.0004932472376916287
147,thăng,0.0004922764910169129
148,cắn,0.0004919061284912863
149,lắm,0.0004903477080882605
150,vào mồm,0.0004901014857227163
151,sml,0.0004900258431189796
152,sang vl,0.0004890851159473862
153,bậy,0.0004878798409524027
154,quê,0.0004869639889705542
155,đm sợ,0.0004868060601925569
156,chiêu,0.00048506436572559543
157,ngu vc,0.00048447385563038764
158,khùng,0.00047960607835379485
159,mà hãy hành,0.0004789589815497006
160,má phính ghê,0.00047526988477099904
161,thì,0.00047419004059100916
162,cđm nhanh vl,0.00047308820973649107
163,mình ngu,0.0004720385510352095
164,nyc,0.00047090108266094116
165,vật,0.0004702749726043164
166,cằm nhìn sợ,0.0004675165025698568
167,con này,0.0004623895157249977
168,ng,0.00046229775126003115
169,nhiên vl,0.0004604474904223948
170,lại,0.00046020178109642824
171,ghét vl,0.00045735012299506485
172,chỉ,0.00045581796422605893
173,cái,0.0004542976441601587
174,răng vl,0.0004539173797427665
175,dối,0.0004515411196294894
176,cc gì,0.00045095172841258784
177,with,0.00045084004624990233
178,kém,0.00045001173073141987
179,concặtnèđức lại,0.0004487648303786466
180,mồm zẩu,0.00044766560248988034
181,đâu mà chửi,0.00044522818174120606
182,đéo chịu,0.0004450960620756221
183,hiệu,0.0004449197131731498
184,mẹ,0.0004429222817227664
185,lừa quay,0.00044218481064344504
186,đấy,0.0004421080265391964
187,ai đâu url,0.000441321282009977
188,con chó chỗ,0.00044125390207900856
189,biết lắm loanh,0.00044024306143366934
190,với cao,0.0004395022985640813
191,ai ngại,0.0004387653063633957
192,làm cc,0.0004363086081079586
193,khó ưa,0.0004351841946960594
194,nứng vl,0.0004346558661809121
195,phò,0.000429742242253765
196,bố,0.00042791253713238156
197,mất mặt vl,0.0004277598460183855
198,đúng,0.00042717165594448065
199,khó ưa vl,0.00042511501200470257
